Dec. 11, 2018   21:01:33
Linear Sweep Voltammetry
File: r:\group-shared\andy\760_data\181211\181211_lsv_afterbulke.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.39
Final E (V) = 2
Scan Rate (V/s) = 0.02
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.001


Potential/V, Current/A

1.076, 1.392e-3
1.077, 1.391e-3
1.078, 1.393e-3
1.079, 1.392e-3
1.080, 1.391e-3
1.081, 1.389e-3
1.082, 1.392e-3
1.083, 1.396e-3
1.084, 1.396e-3
1.085, 1.396e-3
1.086, 1.399e-3
1.087, 1.396e-3
1.088, 1.393e-3
1.089, 1.392e-3
1.090, 1.391e-3
1.091, 1.395e-3
1.092, 1.397e-3
1.093, 1.399e-3
1.094, 1.396e-3
1.095, 1.395e-3
1.096, 1.395e-3
1.097, 1.396e-3
1.098, 1.396e-3
1.099, 1.398e-3
1.100, 1.396e-3
1.101, 1.395e-3
1.102, 1.396e-3
1.103, 1.395e-3
1.104, 1.393e-3
1.105, 1.394e-3
1.106, 1.397e-3
1.107, 1.396e-3
1.108, 1.396e-3
1.109, 1.396e-3
1.110, 1.395e-3
1.111, 1.394e-3
1.112, 1.397e-3
1.113, 1.399e-3
1.114, 1.398e-3
1.115, 1.397e-3
1.116, 1.394e-3
1.117, 1.394e-3
1.118, 1.394e-3
1.119, 1.399e-3
1.120, 1.401e-3
1.121, 1.401e-3
1.122, 1.399e-3
1.123, 1.400e-3
1.124, 1.397e-3
1.125, 1.398e-3
1.126, 1.400e-3
1.127, 1.401e-3
1.128, 1.401e-3
1.129, 1.401e-3
1.130, 1.402e-3
1.131, 1.401e-3
1.132, 1.403e-3
1.133, 1.404e-3
1.134, 1.407e-3
1.135, 1.404e-3
1.136, 1.405e-3
1.137, 1.405e-3
1.138, 1.406e-3
1.139, 1.406e-3
1.140, 1.407e-3
1.141, 1.405e-3
1.142, 1.406e-3
1.143, 1.406e-3
1.144, 1.405e-3
1.145, 1.408e-3
1.146, 1.407e-3
1.147, 1.408e-3
1.148, 1.407e-3
1.149, 1.410e-3
1.150, 1.409e-3
1.151, 1.407e-3
1.152, 1.410e-3
1.153, 1.412e-3
1.154, 1.410e-3
1.155, 1.407e-3
1.156, 1.408e-3
1.157, 1.409e-3
1.158, 1.412e-3
1.159, 1.415e-3
1.160, 1.418e-3
1.161, 1.413e-3
1.162, 1.411e-3
1.163, 1.413e-3
1.164, 1.413e-3
1.165, 1.413e-3
1.166, 1.415e-3
1.167, 1.412e-3
1.168, 1.409e-3
1.169, 1.409e-3
1.170, 1.408e-3
1.171, 1.410e-3
1.172, 1.411e-3
1.173, 1.416e-3
1.174, 1.415e-3
1.175, 1.415e-3
1.176, 1.414e-3
1.177, 1.416e-3
1.178, 1.416e-3
1.179, 1.415e-3
1.180, 1.415e-3
1.181, 1.413e-3
1.182, 1.413e-3
1.183, 1.413e-3
1.184, 1.414e-3
1.185, 1.411e-3
1.186, 1.412e-3
1.187, 1.412e-3
1.188, 1.415e-3
1.189, 1.417e-3
1.190, 1.417e-3
1.191, 1.415e-3
1.192, 1.413e-3
1.193, 1.415e-3
1.194, 1.418e-3
1.195, 1.419e-3
1.196, 1.418e-3
1.197, 1.418e-3
1.198, 1.415e-3
1.199, 1.417e-3
1.200, 1.417e-3
1.201, 1.415e-3
1.202, 1.414e-3
1.203, 1.415e-3
1.204, 1.417e-3
1.205, 1.418e-3
1.206, 1.421e-3
1.207, 1.419e-3
1.208, 1.418e-3
1.209, 1.416e-3
1.210, 1.418e-3
1.211, 1.418e-3
1.212, 1.420e-3
1.213, 1.421e-3
1.214, 1.419e-3
1.215, 1.416e-3
1.216, 1.417e-3
1.217, 1.420e-3
1.218, 1.415e-3
1.219, 1.410e-3
1.220, 1.418e-3
1.221, 1.423e-3
1.222, 1.420e-3
1.223, 1.419e-3
1.224, 1.417e-3
1.225, 1.418e-3
1.226, 1.420e-3
1.227, 1.422e-3
1.228, 1.419e-3
1.229, 1.417e-3
1.230, 1.418e-3
1.231, 1.420e-3
1.232, 1.423e-3
1.233, 1.423e-3
1.234, 1.420e-3
1.235, 1.421e-3
1.236, 1.422e-3
1.237, 1.419e-3
1.238, 1.421e-3
1.239, 1.424e-3
1.240, 1.428e-3
1.241, 1.427e-3
1.242, 1.422e-3
1.243, 1.422e-3
1.244, 1.422e-3
1.245, 1.424e-3
1.246, 1.425e-3
1.247, 1.425e-3
1.248, 1.422e-3
1.249, 1.425e-3
1.250, 1.424e-3
1.251, 1.424e-3
1.252, 1.423e-3
1.253, 1.425e-3
1.254, 1.426e-3
1.255, 1.429e-3
1.256, 1.433e-3
1.257, 1.433e-3
1.258, 1.432e-3
1.259, 1.430e-3
1.260, 1.432e-3
1.261, 1.430e-3
1.262, 1.428e-3
1.263, 1.425e-3
1.264, 1.427e-3
1.265, 1.429e-3
1.266, 1.431e-3
1.267, 1.431e-3
1.268, 1.428e-3
1.269, 1.427e-3
1.270, 1.429e-3
1.271, 1.432e-3
1.272, 1.428e-3
1.273, 1.429e-3
1.274, 1.426e-3
1.275, 1.427e-3
1.276, 1.424e-3
1.277, 1.425e-3
1.278, 1.424e-3
1.279, 1.425e-3
1.280, 1.427e-3
1.281, 1.428e-3
1.282, 1.428e-3
1.283, 1.430e-3
1.284, 1.430e-3
1.285, 1.428e-3
1.286, 1.426e-3
1.287, 1.424e-3
1.288, 1.425e-3
1.289, 1.426e-3
1.290, 1.430e-3
1.291, 1.429e-3
1.292, 1.424e-3
1.293, 1.423e-3
1.294, 1.427e-3
1.295, 1.430e-3
1.296, 1.433e-3
1.297, 1.433e-3
1.298, 1.431e-3
1.299, 1.428e-3
1.300, 1.430e-3
1.301, 1.433e-3
1.302, 1.433e-3
1.303, 1.438e-3
1.304, 1.436e-3
1.305, 1.435e-3
1.306, 1.433e-3
1.307, 1.434e-3
1.308, 1.433e-3
1.309, 1.434e-3
1.310, 1.435e-3
1.311, 1.433e-3
1.312, 1.432e-3
1.313, 1.431e-3
1.314, 1.434e-3
1.315, 1.435e-3
1.316, 1.437e-3
1.317, 1.439e-3
1.318, 1.435e-3
1.319, 1.432e-3
1.320, 1.436e-3
1.321, 1.436e-3
1.322, 1.434e-3
1.323, 1.434e-3
1.324, 1.433e-3
1.325, 1.434e-3
1.326, 1.432e-3
1.327, 1.434e-3
1.328, 1.433e-3
1.329, 1.435e-3
1.330, 1.437e-3
1.331, 1.439e-3
1.332, 1.438e-3
1.333, 1.440e-3
1.334, 1.438e-3
1.335, 1.435e-3
1.336, 1.436e-3
1.337, 1.439e-3
1.338, 1.442e-3
1.339, 1.440e-3
1.340, 1.440e-3
1.341, 1.436e-3
1.342, 1.435e-3
1.343, 1.435e-3
1.344, 1.440e-3
1.345, 1.442e-3
1.346, 1.444e-3
1.347, 1.443e-3
1.348, 1.439e-3
1.349, 1.437e-3
1.350, 1.439e-3
1.351, 1.443e-3
1.352, 1.442e-3
1.353, 1.443e-3
1.354, 1.443e-3
1.355, 1.439e-3
1.356, 1.436e-3
1.357, 1.439e-3
1.358, 1.439e-3
1.359, 1.444e-3
1.360, 1.446e-3
1.361, 1.445e-3
1.362, 1.441e-3
1.363, 1.439e-3
1.364, 1.439e-3
1.365, 1.438e-3
1.366, 1.441e-3
1.367, 1.443e-3
1.368, 1.443e-3
1.369, 1.440e-3
1.370, 1.443e-3
1.371, 1.442e-3
1.372, 1.445e-3
1.373, 1.445e-3
1.374, 1.445e-3
1.375, 1.442e-3
1.376, 1.443e-3
1.377, 1.445e-3
1.378, 1.447e-3
1.379, 1.447e-3
1.380, 1.446e-3
1.381, 1.447e-3
1.382, 1.444e-3
1.383, 1.445e-3
1.384, 1.446e-3
1.385, 1.445e-3
1.386, 1.442e-3
1.387, 1.446e-3
1.388, 1.445e-3
1.389, 1.447e-3
1.390, 1.446e-3
1.391, 1.446e-3
1.392, 1.445e-3
1.393, 1.446e-3
1.394, 1.448e-3
1.395, 1.445e-3
1.396, 1.445e-3
1.397, 1.445e-3
1.398, 1.446e-3
1.399, 1.445e-3
1.400, 1.449e-3
1.401, 1.451e-3
1.402, 1.452e-3
1.403, 1.451e-3
1.404, 1.450e-3
1.405, 1.449e-3
1.406, 1.449e-3
1.407, 1.452e-3
1.408, 1.449e-3
1.409, 1.449e-3
1.410, 1.450e-3
1.411, 1.451e-3
1.412, 1.449e-3
1.413, 1.451e-3
1.414, 1.451e-3
1.415, 1.451e-3
1.416, 1.448e-3
1.417, 1.450e-3
1.418, 1.449e-3
1.419, 1.448e-3
1.420, 1.450e-3
1.421, 1.451e-3
1.422, 1.450e-3
1.423, 1.448e-3
1.424, 1.450e-3
1.425, 1.449e-3
1.426, 1.452e-3
1.427, 1.453e-3
1.428, 1.453e-3
1.429, 1.448e-3
1.430, 1.448e-3
1.431, 1.450e-3
1.432, 1.454e-3
1.433, 1.452e-3
1.434, 1.450e-3
1.435, 1.448e-3
1.436, 1.448e-3
1.437, 1.450e-3
1.438, 1.450e-3
1.439, 1.450e-3
1.440, 1.449e-3
1.441, 1.449e-3
1.442, 1.447e-3
1.443, 1.449e-3
1.444, 1.448e-3
1.445, 1.448e-3
1.446, 1.447e-3
1.447, 1.449e-3
1.448, 1.448e-3
1.449, 1.449e-3
1.450, 1.451e-3
1.451, 1.452e-3
1.452, 1.452e-3
1.453, 1.451e-3
1.454, 1.454e-3
1.455, 1.454e-3
1.456, 1.457e-3
1.457, 1.457e-3
1.458, 1.457e-3
1.459, 1.456e-3
1.460, 1.456e-3
